Keystone,Metric,QnNum,Questions,Reverse Score
Confident,Generalised Self-Efficacy Scale,7,I can remain calm when facing difficulties because I can rely on my coping abilities.,No
Confident,Generalised Self-Efficacy Scale,8,"When I am confronted with a problem, I can usually find several solutions.",No
Confident,Generalised Self-Efficacy Scale,9,"If I'm in a bind, I can usually think of something to do.",No
Confident,Generalised Self-Efficacy Scale,10,"No matter what comes my way, I'm usually able to handle it.",No
Srategic Thinker,Epistemic Curiousiy-Diversive sub scale,1,It's fun to learn about unfamiliar subjects.,No
Srategic Thinker,Epistemic Curiousiy-Diversive sub scale,2,It's fascinating to learn new information.,No
Srategic Thinker,Epistemic Curiousiy-Diversive sub scale,3,I enjoy exploring new ideas.,No
Srategic Thinker,Epistemic Curiousiy-Diversive sub scale,4,"If I get to learn something new, I like to find out more.",No
Srategic Thinker,Epistemic Curiousiy-Diversive sub scale,5,It's fun to discuss abstract concepts.,No
Srategic Thinker,Articulating a Vision,1,I paint an interesting picture of the future for my group.,No
Srategic Thinker,Articulating a Vision,2,I'm always seeking new opportunities for my group.,No
Srategic Thinker,Articulating a Vision,3,I inspire my group with my plan for the future.,No
Srategic Thinker,Articulating a Vision,4,I have a clear understanding of where we are going.,No
Srategic Thinker,Articulating a Vision,5,I'm able to get others committed to my dream.,No
Srategic Thinker,Inquiry & Exploration,1,I would describe myself as someone who actively seeks as much information as I can in a new situation.,No
Srategic Thinker,Inquiry & Exploration,2,"When I am participating in an activity, I tend to get so involved that I lose track of time.",No
Srategic Thinker,Inquiry & Exploration,3,I frequently find myself looking for new opportunities to grow as a person.,No
Srategic Thinker,Inquiry & Exploration,4,I am not the type of person who probes deeply into new situations or things.,Yes
Srategic Thinker,Inquiry & Exploration,5,"When I am actively interested in something, it takes a great deal to interrupt me.",No
Srategic Thinker,Inquiry & Exploration,6,My friends would describe me as someone who is 'extremely intense' when in the middle of doing something.,No
Srategic Thinker,Inquiry & Exploration,7,"Everywhere I go, I am out looking for new things or experiences.",No
Team Player,Active Empathic Listening Scale,1,I am sensitive to what others are not saying.,No
Team Player,Active Empathic Listening Scale,2,I am aware of what others imply but do not say.,No
Team Player,Active Empathic Listening Scale,3,I understand how others feel.,No
Team Player,Active Empathic Listening Scale,4,I listen for more than just the spoken words.,No
Team Player,Active Empathic Listening Scale,5,I assure others that I will remember what they say.,No
Team Player,Active Empathic Listening Scale,6,I summarise points of agreement and disagreement when appropriate.,No
Team Player,Active Empathic Listening Scale,7,I keep track of points others make.,No
Team Player,Active Empathic Listening Scale,8,I assure others that I am listening by using verbal acknowledgements.,No
Team Player,Active Empathic Listening Scale,9,I assure others that I am receptive to their ideas.,No
Team Player,Active Empathic Listening Scale,10,I ask questions that show my understanding of others' positions.,No
Team Player,Active Empathic Listening Scale,11,"I show others that I am listening through my body language (e.g., head nods)",No
Team Player,Collaboration Self-Assessment Tool,1,How much do you contribute ideas/information/resources?,No
Team Player,Collaboration Self-Assessment Tool,2,How participatory are you?,No
Team Player,Collaboration Self-Assessment Tool,3,What is your typical standard of work quality?,No
Team Player,Collaboration Self-Assessment Tool,4,How well do you manage your time?,No
Team Player,Collaboration Self-Assessment Tool,5,How much do you support the team?,No
Team Player,Collaboration Self-Assessment Tool,6,How prepared are you usually?,No
Team Player,Collaboration Self-Assessment Tool,7,How do you participate in group problem solving?,No
Team Player,Collaboration Self-Assessment Tool,8,How aware are you of the team dynamics and your impact on the team?,No
Team Player,Collaboration Self-Assessment Tool,9,How supportive are you in a team?,No
Team Player,Collaboration Self-Assessment Tool,10,How flexible are you between roles?,No
Team Player,Collaboration Self-Assessment Tool,11,How self-reflective are you?,No
Productive,Productivity Scale,1,I am able to finish all my work during a set amount of time.,No
Productive,Productivity Scale,2,I know all the tasks I have to accomplish for the day.,No
Productive,Productivity Scale,3,I am able to plan and set goals for my projects.,No
Productive,Productivity Scale,4,I can set aside distractions and focus on what I am doing.,No
Productive,Productivity Scale,5,I set up a schedule for tasks and projects to be done.,No
Productive,Delayed Gratification Inventory,1,"I would have a hard time sticking with a special, healthy diet.",Yes
Productive,Delayed Gratification Inventory,2,I have always tried to eat healthy because it pays off in the long run.,No
Productive,Delayed Gratification Inventory,3,I have given up physical pleasure or comfort to reach my goals.,No
Productive,Delayed Gratification Inventory,4,"When faced with a physically demanding chore, I always tried to put off doing it.",Yes
Productive,Delayed Gratification Inventory,5,I try to consider how my actions will affect other people in the long-term.,No
Productive,Delayed Gratification Inventory,6,I do not consider how my behaviour affects other people.,Yes
Productive,Delayed Gratification Inventory,7,I try to spend my money wisely.,No
Productive,Delayed Gratification Inventory,8,I have always felt like my hard work would pay off in the end.,No
Productive,Delayed Gratification Inventory,9,I cannot be trusted with money.,Yes
Productive,Delayed Gratification Inventory,10,I cannot motivate myself to accomplish long-term goals.,Yes
